x;y
24/3/2025 3:0;70
24/3/2025 4:0;22
24/3/2025 5:0;39
24/3/2025 6:0;66
24/3/2025 7:0;362
24/3/2025 8:0;583
24/3/2025 9:0;340
24/3/2025 10:0;372
24/3/2025 11:0;337
24/3/2025 12:0;449
24/3/2025 13:0;534
24/3/2025 14:0;599
24/3/2025 15:0;632
24/3/2025 16:0;185
24/3/2025 17:0;196
24/3/2025 18:0;279
24/3/2025 19:0;489
24/3/2025 20:0;466
24/3/2025 21:0;318
24/3/2025 22:0;459
24/3/2025 23:0;458
25/3/2025 0:0;316
25/3/2025 1:0;282
25/3/2025 2:0;152
25/3/2025 3:0;42
25/3/2025 4:0;19
25/3/2025 5:0;12
25/3/2025 6:0;177
25/3/2025 7:0;353
25/3/2025 8:0;593
25/3/2025 9:0;345
25/3/2025 10:0;435
25/3/2025 11:0;345
25/3/2025 12:0;310
25/3/2025 13:0;409
25/3/2025 14:0;406
25/3/2025 15:0;347
25/3/2025 16:0;488
25/3/2025 17:0;261
25/3/2025 18:0;283
25/3/2025 19:0;276
25/3/2025 20:0;291
25/3/2025 21:0;345
25/3/2025 22:0;444
25/3/2025 23:0;363
26/3/2025 0:0;416
26/3/2025 1:0;337
26/3/2025 2:0;180
26/3/2025 3:0;111
26/3/2025 4:0;105
26/3/2025 5:0;36
26/3/2025 6:0;78
26/3/2025 7:0;186
26/3/2025 8:0;312
26/3/2025 9:0;394
26/3/2025 10:0;370
26/3/2025 11:0;357
26/3/2025 12:0;325
26/3/2025 13:0;399
26/3/2025 14:0;215
26/3/2025 15:0;359
26/3/2025 16:0;312
26/3/2025 17:0;305
26/3/2025 18:0;360
26/3/2025 19:0;391
26/3/2025 20:0;442
26/3/2025 21:0;567
26/3/2025 22:0;310
26/3/2025 23:0;425
27/3/2025 0:0;469
27/3/2025 1:0;478
27/3/2025 2:0;246
27/3/2025 3:0;70
27/3/2025 4:0;27
27/3/2025 5:0;27
27/3/2025 6:0;71
27/3/2025 7:0;461
27/3/2025 8:0;378
27/3/2025 9:0;411
27/3/2025 10:0;334
27/3/2025 11:0;187
27/3/2025 12:0;238
27/3/2025 13:0;341
27/3/2025 14:0;224
27/3/2025 15:0;272
27/3/2025 16:0;287
27/3/2025 17:0;278
27/3/2025 18:0;418
27/3/2025 19:0;693
27/3/2025 20:0;408
27/3/2025 21:0;345
27/3/2025 22:0;294
27/3/2025 23:0;428
28/3/2025 0:0;287
28/3/2025 1:0;308
28/3/2025 2:0;160
28/3/2025 3:0;90
28/3/2025 4:0;97
28/3/2025 5:0;67
28/3/2025 6:0;54
28/3/2025 7:0;522
28/3/2025 8:0;498
28/3/2025 9:0;547
28/3/2025 10:0;352
28/3/2025 11:0;621
28/3/2025 12:0;640
28/3/2025 13:0;386
28/3/2025 14:0;278
28/3/2025 15:0;326
28/3/2025 16:0;253
28/3/2025 17:0;475
28/3/2025 18:0;353
28/3/2025 19:0;349
28/3/2025 20:0;598
28/3/2025 21:0;471
28/3/2025 22:0;393
28/3/2025 23:0;260
29/3/2025 0:0;312
29/3/2025 1:0;337
29/3/2025 2:0;220
29/3/2025 3:0;69
29/3/2025 4:0;75
29/3/2025 5:0;50
29/3/2025 6:0;81
29/3/2025 7:0;57
29/3/2025 8:0;297
29/3/2025 9:0;1046
29/3/2025 10:0;440
29/3/2025 11:0;269
29/3/2025 12:0;124
29/3/2025 13:0;1012
29/3/2025 14:0;435
29/3/2025 15:0;352
29/3/2025 16:0;342
29/3/2025 17:0;234
29/3/2025 18:0;363
29/3/2025 19:0;601
29/3/2025 20:0;412
29/3/2025 21:0;286
29/3/2025 22:0;318
29/3/2025 23:0;735
30/3/2025 0:0;1064
30/3/2025 1:0;870
30/3/2025 3:0;139
30/3/2025 4:0;132
30/3/2025 5:0;86
30/3/2025 6:0;118
30/3/2025 7:0;45
30/3/2025 8:0;125
30/3/2025 9:0;691
30/3/2025 10:0;399
30/3/2025 11:0;135
30/3/2025 12:0;310
30/3/2025 13:0;535
30/3/2025 14:0;588
30/3/2025 15:0;572
30/3/2025 16:0;292
30/3/2025 17:0;105
30/3/2025 18:0;125
30/3/2025 19:0;176
30/3/2025 20:0;253
30/3/2025 21:0;534
30/3/2025 22:0;1187
30/3/2025 23:0;745
31/3/2025 0:0;458
31/3/2025 1:0;270
31/3/2025 2:0;128
31/3/2025 3:0;132
31/3/2025 4:0;14
31/3/2025 5:0;28
31/3/2025 6:0;50
31/3/2025 7:0;160
31/3/2025 8:0;404
31/3/2025 9:0;407
31/3/2025 10:0;681
31/3/2025 11:0;605
31/3/2025 12:0;472
31/3/2025 13:0;441
31/3/2025 14:0;485
31/3/2025 15:0;327
31/3/2025 16:0;399
31/3/2025 17:0;178
31/3/2025 18:0;204
31/3/2025 19:0;297
31/3/2025 20:0;510
31/3/2025 21:0;621
31/3/2025 22:0;272
31/3/2025 23:0;479
1/4/2025 0:0;264
1/4/2025 1:0;300
1/4/2025 2:0;54
1/4/2025 3:0;69
1/4/2025 4:0;52
1/4/2025 5:0;19
1/4/2025 6:0;121
1/4/2025 7:0;207
1/4/2025 8:0;442
1/4/2025 9:0;501
1/4/2025 10:0;633
1/4/2025 11:0;566
1/4/2025 12:0;496
1/4/2025 13:0;587
1/4/2025 14:0;615
1/4/2025 15:0;335
1/4/2025 16:0;293
1/4/2025 17:0;431
1/4/2025 18:0;195
1/4/2025 19:0;214
1/4/2025 20:0;582
1/4/2025 21:0;465
1/4/2025 22:0;486
1/4/2025 23:0;335
2/4/2025 0:0;385
2/4/2025 1:0;260
2/4/2025 2:0;208
2/4/2025 3:0;100
2/4/2025 4:0;22
2/4/2025 5:0;25
2/4/2025 6:0;26
2/4/2025 7:0;481
2/4/2025 8:0;484
2/4/2025 9:0;539
2/4/2025 10:0;406
2/4/2025 11:0;437
2/4/2025 12:0;703
2/4/2025 13:0;513
2/4/2025 14:0;473
2/4/2025 15:0;527
2/4/2025 16:0;723
2/4/2025 17:0;1251
2/4/2025 18:0;1104
2/4/2025 19:0;256
2/4/2025 20:0;110
2/4/2025 21:0;174
2/4/2025 22:0;253
2/4/2025 23:0;308
3/4/2025 0:0;283
3/4/2025 1:0;194
3/4/2025 2:0;663
3/4/2025 3:0;698
3/4/2025 4:0;237
3/4/2025 5:0;267
3/4/2025 6:0;187
3/4/2025 7:0;197
3/4/2025 8:0;386
3/4/2025 9:0;219
3/4/2025 10:0;242
3/4/2025 11:0;435
3/4/2025 12:0;596
3/4/2025 13:0;697
3/4/2025 14:0;569
3/4/2025 15:0;344
3/4/2025 16:0;393
3/4/2025 17:0;429
3/4/2025 18:0;187
3/4/2025 19:0;208
3/4/2025 20:0;399
3/4/2025 21:0;349
3/4/2025 22:0;449
3/4/2025 23:0;422
4/4/2025 0:0;316
4/4/2025 1:0;250
4/4/2025 2:0;174
4/4/2025 3:0;104
4/4/2025 4:0;99
4/4/2025 5:0;54
4/4/2025 6:0;134
4/4/2025 7:0;412
4/4/2025 8:0;391
4/4/2025 9:0;204
4/4/2025 10:0;315
4/4/2025 11:0;396
4/4/2025 12:0;550
4/4/2025 13:0;631
4/4/2025 14:0;511
4/4/2025 15:0;383
4/4/2025 16:0;392
4/4/2025 17:0;558
4/4/2025 18:0;258
4/4/2025 19:0;340
4/4/2025 20:0;145
4/4/2025 21:0;318
4/4/2025 22:0;467
