x;y
30/3/2025 14:0;186
30/3/2025 15:0;185
30/3/2025 16:0;201
30/3/2025 17:0;195
30/3/2025 18:0;187
30/3/2025 19:0;194
30/3/2025 21:0;363
30/3/2025 22:0;196
31/3/2025 1:0;564
31/3/2025 2:0;205
31/3/2025 4:0;416
31/3/2025 5:0;226
31/3/2025 6:0;4872
31/3/2025 7:0;507
31/3/2025 8:0;1372
31/3/2025 9:0;1448
31/3/2025 10:0;2455
31/3/2025 11:0;2991
31/3/2025 12:0;2210
31/3/2025 13:0;3182
31/3/2025 14:0;2940
31/3/2025 15:0;2147
31/3/2025 16:0;2189
31/3/2025 17:0;1561
31/3/2025 18:0;957
31/3/2025 19:0;768
31/3/2025 20:0;858
31/3/2025 21:0;840
31/3/2025 22:0;809
31/3/2025 23:0;827
1/4/2025 0:0;802
1/4/2025 1:0;807
1/4/2025 2:0;846
1/4/2025 3:0;786
1/4/2025 4:0;806
1/4/2025 5:0;782
1/4/2025 6:0;810
1/4/2025 7:0;1072
1/4/2025 8:0;1441
1/4/2025 9:0;2257
1/4/2025 10:0;2620
1/4/2025 11:0;3127
1/4/2025 12:0;3230
1/4/2025 13:0;3896
1/4/2025 14:0;3069
1/4/2025 15:0;2791
1/4/2025 16:0;2147
1/4/2025 17:0;2243
1/4/2025 18:0;1388
1/4/2025 19:0;1140
1/4/2025 20:0;473
1/4/2025 21:0;303
1/4/2025 22:0;259
1/4/2025 23:0;253
2/4/2025 0:0;252
2/4/2025 1:0;250
2/4/2025 2:0;304
2/4/2025 3:0;268
2/4/2025 4:0;262
2/4/2025 5:0;259
2/4/2025 6:0;336
2/4/2025 7:0;473
2/4/2025 8:0;2413
2/4/2025 9:0;2155
2/4/2025 10:0;3531
2/4/2025 11:0;3485
2/4/2025 12:0;3402
2/4/2025 13:0;4540
2/4/2025 14:0;4343
2/4/2025 15:0;2637
2/4/2025 16:0;2539
2/4/2025 17:0;1831
2/4/2025 18:0;1433
2/4/2025 19:0;2056
2/4/2025 20:0;1170
2/4/2025 21:0;373
2/4/2025 22:0;334
2/4/2025 23:0;339
3/4/2025 0:0;299
3/4/2025 1:0;308
3/4/2025 2:0;331
3/4/2025 3:0;321
3/4/2025 4:0;321
3/4/2025 5:0;296
3/4/2025 6:0;334
3/4/2025 7:0;543
3/4/2025 8:0;1058
3/4/2025 9:0;1757
3/4/2025 10:0;2401
3/4/2025 11:0;3057
3/4/2025 12:0;2938
3/4/2025 13:0;3301
3/4/2025 14:0;2863
3/4/2025 15:0;2229
3/4/2025 16:0;2063
3/4/2025 17:0;1610
3/4/2025 18:0;1038
3/4/2025 19:0;1031
3/4/2025 20:0;580
3/4/2025 21:0;327
3/4/2025 22:0;247
3/4/2025 23:0;216
4/4/2025 0:0;221
4/4/2025 1:0;209
4/4/2025 2:0;207
4/4/2025 3:0;205
4/4/2025 4:0;215
4/4/2025 5:0;217
4/4/2025 6:0;262
4/4/2025 7:0;464
4/4/2025 8:0;880
4/4/2025 9:0;1170
4/4/2025 10:0;1570
4/4/2025 11:0;1497
4/4/2025 12:0;1865
4/4/2025 13:0;1631
4/4/2025 14:0;1487
4/4/2025 15:0;1366
4/4/2025 16:0;1068
4/4/2025 17:0;718
4/4/2025 18:0;642
4/4/2025 19:0;363
4/4/2025 20:0;327
4/4/2025 21:0;239
4/4/2025 22:0;241
