x;y
24.03.2025 01:00;205
24.03.2025 02:00;185
24.03.2025 03:00;199
24.03.2025 04:00;183
24.03.2025 05:00;198
24.03.2025 06:00;208
24.03.2025 07:00;470
24.03.2025 08:00;1175
24.03.2025 09:00;1878
24.03.2025 10:00;3007
24.03.2025 11:00;3100
24.03.2025 12:00;2944
24.03.2025 13:00;3525
24.03.2025 14:00;3287
24.03.2025 15:00;2666
24.03.2025 16:00;2809
24.03.2025 17:00;2882
24.03.2025 18:00;1434
24.03.2025 19:00;1287
24.03.2025 20:00;1126
24.03.2025 21:00;692
24.03.2025 22:00;651
24.03.2025 23:00;638
25.03.2025 00:00;605
25.03.2025 01:00;626
25.03.2025 02:00;586
25.03.2025 03:00;605
25.03.2025 04:00;600
25.03.2025 05:00;607
25.03.2025 06:00;625
25.03.2025 07:00;934
25.03.2025 08:00;1562
25.03.2025 09:00;2242
25.03.2025 10:00;2994
25.03.2025 11:00;3012
25.03.2025 12:00;3439
25.03.2025 13:00;4000
25.03.2025 14:00;3191
25.03.2025 15:00;2911
25.03.2025 16:00;2700
25.03.2025 17:00;2282
25.03.2025 18:00;1222
25.03.2025 19:00;1420
25.03.2025 20:00;529
25.03.2025 21:00;411
25.03.2025 22:00;338
25.03.2025 23:00;324
26.03.2025 00:00;304
26.03.2025 01:00;304
26.03.2025 02:00;278
26.03.2025 03:00;282
26.03.2025 04:00;284
26.03.2025 05:00;269
26.03.2025 06:00;352
26.03.2025 07:00;508
26.03.2025 08:00;1177
26.03.2025 09:00;2129
26.03.2025 10:00;3317
26.03.2025 11:00;2815
26.03.2025 12:00;2626
26.03.2025 13:00;4082
26.03.2025 14:00;3723
26.03.2025 15:00;2703
26.03.2025 16:00;3265
26.03.2025 17:00;2047
26.03.2025 18:00;1443
26.03.2025 19:00;2023
26.03.2025 20:00;1086
26.03.2025 21:00;318
26.03.2025 22:00;292
26.03.2025 23:00;267
27.03.2025 00:00;264
27.03.2025 01:00;272
27.03.2025 02:00;210
27.03.2025 03:00;232
27.03.2025 04:00;224
27.03.2025 05:00;241
27.03.2025 06:00;233
27.03.2025 07:00;459
27.03.2025 08:00;1019
27.03.2025 09:00;1448
27.03.2025 10:00;2527
27.03.2025 11:00;3281
27.03.2025 12:00;2022
27.03.2025 13:00;2780
27.03.2025 14:00;2048
27.03.2025 15:00;2303
27.03.2025 16:00;2149
27.03.2025 17:00;1882
27.03.2025 18:00;1567
27.03.2025 19:00;1417
27.03.2025 20:00;704
27.03.2025 21:00;597
27.03.2025 22:00;538
27.03.2025 23:00;554
28.03.2025 00:00;498
28.03.2025 01:00;534
28.03.2025 02:00;505
28.03.2025 03:00;508
28.03.2025 04:00;507
28.03.2025 05:00;511
28.03.2025 06:00;534
28.03.2025 07:00;693
28.03.2025 08:00;1474
28.03.2025 09:00;2183
28.03.2025 10:00;2499
28.03.2025 11:00;2397
28.03.2025 12:00;2065
28.03.2025 13:00;2199
28.03.2025 14:00;1788
28.03.2025 15:00;1562
28.03.2025 16:00;1305
28.03.2025 17:00;857
28.03.2025 18:00;574
28.03.2025 19:00;974
28.03.2025 20:00;316
28.03.2025 21:00;211
28.03.2025 22:00;200
28.03.2025 23:00;180
29.03.2025 00:00;195
29.03.2025 01:00;215
29.03.2025 02:00;183
29.03.2025 03:00;209
29.03.2025 04:00;190
29.03.2025 05:00;200
29.03.2025 06:00;184
29.03.2025 07:00;189
29.03.2025 08:00;194
29.03.2025 09:00;187
29.03.2025 10:00;192
29.03.2025 11:00;184
29.03.2025 12:00;184
29.03.2025 13:00;210
29.03.2025 14:00;228
29.03.2025 15:00;200
29.03.2025 16:00;189
29.03.2025 17:00;184
29.03.2025 18:00;197
29.03.2025 19:00;177
29.03.2025 20:00;192
29.03.2025 21:00;198
29.03.2025 22:00;186
29.03.2025 23:00;199
30.03.2025 00:00;184
30.03.2025 01:00;226
30.03.2025 03:00;178
30.03.2025 04:00;196
30.03.2025 05:00;209
30.03.2025 06:00;187
30.03.2025 07:00;202
30.03.2025 08:00;180
30.03.2025 09:00;182
30.03.2025 10:00;202
30.03.2025 11:00;174
30.03.2025 12:00;202
30.03.2025 13:00;185
30.03.2025 14:00;186
30.03.2025 15:00;185
30.03.2025 16:00;201
30.03.2025 17:00;195
30.03.2025 18:00;187
30.03.2025 19:00;194
30.03.2025 21:00;363
30.03.2025 22:00;196
31.03.2025 01:00;564
31.03.2025 02:00;205
31.03.2025 04:00;416
31.03.2025 05:00;226
31.03.2025 06:00;4872
31.03.2025 07:00;507
31.03.2025 08:00;1372
31.03.2025 09:00;1448
31.03.2025 10:00;2455
31.03.2025 11:00;2991
31.03.2025 12:00;2210
31.03.2025 13:00;3182
31.03.2025 14:00;2940
31.03.2025 15:00;2147
31.03.2025 16:00;2189
31.03.2025 17:00;1561
31.03.2025 18:00;957
31.03.2025 19:00;768
31.03.2025 20:00;858
31.03.2025 21:00;840
31.03.2025 22:00;809
31.03.2025 23:00;827
01.04.2025 00:00;802
01.04.2025 01:00;807
01.04.2025 02:00;846
01.04.2025 03:00;786
01.04.2025 04:00;806
01.04.2025 05:00;782
01.04.2025 06:00;810
01.04.2025 07:00;1072
01.04.2025 08:00;1441
01.04.2025 09:00;2257
01.04.2025 10:00;2620
01.04.2025 11:00;3127
01.04.2025 12:00;3230
01.04.2025 13:00;3896
01.04.2025 14:00;3069
01.04.2025 15:00;2791
01.04.2025 16:00;2147
01.04.2025 17:00;2243
01.04.2025 18:00;1388
01.04.2025 19:00;1140
01.04.2025 20:00;473
01.04.2025 21:00;303
01.04.2025 22:00;259
01.04.2025 23:00;253
02.04.2025 00:00;252
02.04.2025 01:00;250
02.04.2025 02:00;304
02.04.2025 03:00;268
02.04.2025 04:00;262
02.04.2025 05:00;259
02.04.2025 06:00;336
02.04.2025 07:00;473
02.04.2025 08:00;2413
02.04.2025 09:00;2155
02.04.2025 10:00;3531
02.04.2025 11:00;3485
02.04.2025 12:00;3402
02.04.2025 13:00;4540
02.04.2025 14:00;4343
02.04.2025 15:00;2637
02.04.2025 16:00;2539
02.04.2025 17:00;1831
02.04.2025 18:00;1433
02.04.2025 19:00;2056
02.04.2025 20:00;1170
02.04.2025 21:00;373
02.04.2025 22:00;334
02.04.2025 23:00;339
03.04.2025 00:00;299
03.04.2025 01:00;308
03.04.2025 02:00;331
03.04.2025 03:00;321
03.04.2025 04:00;321
03.04.2025 05:00;296
03.04.2025 06:00;334
03.04.2025 07:00;543
03.04.2025 08:00;1058
03.04.2025 09:00;1757
03.04.2025 10:00;2401
03.04.2025 11:00;3057
03.04.2025 12:00;2938
03.04.2025 13:00;3301
03.04.2025 14:00;2863
03.04.2025 15:00;2229
03.04.2025 16:00;2063
03.04.2025 17:00;1610
03.04.2025 18:00;1038
03.04.2025 19:00;1031
03.04.2025 20:00;580
03.04.2025 21:00;327
03.04.2025 22:00;247
03.04.2025 23:00;216
04.04.2025 00:00;221
04.04.2025 01:00;209
04.04.2025 02:00;207
04.04.2025 03:00;205
04.04.2025 04:00;215
04.04.2025 05:00;217
04.04.2025 06:00;262
04.04.2025 07:00;464
04.04.2025 08:00;880
04.04.2025 09:00;1170
04.04.2025 10:00;1570
04.04.2025 11:00;1497
04.04.2025 12:00;1865
04.04.2025 13:00;1631
04.04.2025 14:00;1487
04.04.2025 15:00;1366
04.04.2025 16:00;1068
04.04.2025 17:00;718
04.04.2025 18:00;642
04.04.2025 19:00;363
04.04.2025 20:00;327
04.04.2025 21:00;239
04.04.2025 22:00;241
